Model.name,Eval.metric,Testing.data,Evaluating.data,Cutoff,Sensitivity,Specificity,sps
RF_RUN5_PA2,SR,0.846,NA,990,48.889,98.667,Acla
GAM_RUN5_PA2,TSS,0.862,NA,213,95.556,90.667,Acla
GAM_RUN5_PA2,ROC,0.964,NA,211,95.556,90.667,Acla
GAM_RUN5_PA2,FAR,0.792,NA,966,42.222,98,Acla
GAM_RUN5_PA2,ACCURACY,0.93,NA,614,86.667,94,Acla
GAM_RUN5_PA2,SR,0.792,NA,966,42.222,98,Acla
MAXENT.Phillips_RUN1_PA3,TSS,0.826,NA,162,95.556,87,Acla
MAXENT.Phillips_RUN1_PA3,ROC,0.924,NA,160,95.556,87,Acla
MAXENT.Phillips_RUN1_PA3,FAR,0.739,NA,990,37.778,98,Acla
MAXENT.Phillips_RUN1_PA3,ACCURACY,0.925,NA,662,80,94.333,Acla
MAXENT.Phillips_RUN1_PA3,SR,0.739,NA,990,37.778,98,Acla
GLM_RUN1_PA3,TSS,0.866,NA,744,95.556,91,Acla
GLM_RUN1_PA3,ROC,0.96,NA,749,95.556,91.333,Acla
GLM_RUN1_PA3,FAR,0.758,NA,925,55.556,97.333,Acla
GLM_RUN1_PA3,ACCURACY,0.928,NA,849,82.222,94.333,Acla
GLM_RUN1_PA3,SR,0.758,NA,925,55.556,97.333,Acla
ANN_RUN1_PA3,TSS,0.64,NA,299,100,63.667,Acla
ANN_RUN1_PA3,ROC,0.831,NA,301,100,64,Acla
ANN_RUN1_PA3,FAR,0.34,NA,756,75.556,77.667,Acla
ANN_RUN1_PA3,ACCURACY,0.87,NA,804,0,98.667,Acla
ANN_RUN1_PA3,SR,0.34,NA,756,75.556,77.667,Acla
RF_RUN1_PA3,TSS,0.887,NA,578,93.333,95.333,Acla
RF_RUN1_PA3,ROC,0.982,NA,580,93.333,95.333,Acla
RF_RUN1_PA3,FAR,0.897,NA,980,60,99,Acla
RF_RUN1_PA3,ACCURACY,0.959,NA,869,88.889,97,Acla
RF_RUN1_PA3,SR,0.897,NA,980,60,99,Acla
GAM_RUN1_PA3,TSS,0.92,NA,550,100,92,Acla
GAM_RUN1_PA3,ROC,0.978,NA,551.5,100,92,Acla
GAM_RUN1_PA3,FAR,0.833,NA,958,73.333,98,Acla
GAM_RUN1_PA3,ACCURACY,0.951,NA,899,86.667,96.333,Acla
GAM_RUN1_PA3,SR,0.833,NA,958,73.333,98,Acla
MAXENT.Phillips_RUN2_PA3,TSS,0.648,NA,510,71.111,93.667,Acla
